trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1099,False,"{'a': 0.1, 'e': 0.45537762776548346}",30,1,44.70255279342536,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
1100,False,"{'a': 0.1, 'e': 0.4544871018390625}",25,10,-24.779406230806483,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
1101,False,"{'a': 0.1, 'e': 0.4535961214255773}",20,8,-59.3576717170109,"{0: 7, 1: 0, 2: 3, 3: 2, 4: 0}",1
1102,False,"{'a': 0.1, 'e': 0.4527046874160087}",30,13,-13.637475734207626,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
1103,False,"{'a': 0.1, 'e': 0.45181280070179025}",20,10,-38.27809657379147,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
1104,False,"{'a': 0.1, 'e': 0.4509204621748089}",30,20,-40.09676734853399,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
1105,False,"{'a': 0.1, 'e': 0.45002767272740274}",25,0,-62.7483385970472,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
1106,False,"{'a': 0.1, 'e': 0.4491344332523616}",25,6,16.62997782414382,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1107,False,"{'a': 0.1, 'e': 0.4482407446429244}",25,0,-87.71331453101244,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
1108,False,"{'a': 0.1, 'e': 0.4473466077927801}",20,9,-59.8172909377212,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
1109,False,"{'a': 0.1, 'e': 0.4464520235960651}",25,3,-18.788103505206323,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 0}",1
1110,False,"{'a': 0.1, 'e': 0.44555699294736395}",25,5,-46.17486746509886,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
1111,False,"{'a': 0.1, 'e': 0.4446615167417068}",25,0,-52.39478440156056,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
